Cities,Latitude,Longitude,Start_city,End_city,Distances (kilometers)
Cape Town,-33.916238542616234,18.422555014936027,Cape Town,University of the Western Cape (UWC),21.8
Observatory,-33.9345,18.4543,Cape Town,Observatory,5
Newlands,-33.97892311646357,18.44819603839164,Cape Town,Camp Bay,6.7
Constantia,-34.02158858600939,18.439993926691507,Cape Town,Observatory,5.1
Wynberg,-34.008296635240754,18.467243272937477,Cape Town,Sea Point,4.8
Claremont,-33.98604651902349,18.47266946554379,Cape Town,Table View,19
Sea Point,-33.91703141882901,18.388568493629126,Cape Town,Bellville,20
Table View,-33.821876056157556,18.492138278143443,Cape Town,Kempenville,20
Milnerton,-33.86687509814964,18.53562241057766,Cape Town,Stellenbosch,44
Blaauwberg,-33.82797465949754,18.50246546022581,Observatory,Cape Town,5
Hout Bay,-34.038367135228256,18.349470520432025,Observatory,Newlands,6
Fish Hoek,-34.13381255066271,18.42313258270119,Observatory,Claremont,6
Bellville,-33.893908989629345,18.628340941450343,Observatory,Rondebosch,4
Durbanville,-33.82764258801154,18.65212169012901,Observatory,Mowbray,3
Somerset West,-34.075690207020905,18.84274091305864,Newlands,Observatory,6
Simons Town,-34.19329663218895,18.43871544732048,Newlands,Claremont,3.1
Stellenbosch,-33.93185274397466,18.8562560657256,Newlands,Wynberg,4.4
Muizenberg,-34.10726461456983,18.470559244594554,Newlands,Constantia,8.8
University of Cape Town (UCT),-33.957631807516535,18.62742874304422,Newlands,Rondebosch,3.7
University of the Western Cape (UWC),-33.932974209721,18.62742874304422,Newlands,Muizenberg,14.8
Rondebosch,-33.9674121511884,18.46661251440095,Constantia,Wynberg,5.2
Russel,-33.926687157976595,18.43532571875443,Constantia,Newlands,8.8
Koeberg Rd,-33.88755516754871,18.494682026210477,Constantia,Hout Bay,10.5
Belhar,-33.94837938657596,18.59900525450159,Constantia,Claremont,8
Mowbray,-33.94893464373641,18.485057029635552,Constantia,Fish Hoek,17.9
Polkadraai Rd,-33.96089533806072,18.758341915817304,Constantia,Muizenberg,10
Kempenville,-33.901075057912045, 18.636462349743788,Wynberg,Russel,21
Strand,-34.11226505618873,18.8509158473707,Wynberg,Claremont,3
Green Point ,-33.90697885895539, 18.40411388797455,Wynberg,Newlands,4.4
Blaauwberg,-33.8100656964679, 18.476499938589743,Wynberg,Constantia,5.1
Cape Point,-34.250432907619, 18.425356160278916,Wynberg,Muizenberg,10.8
Camp Bay,-33.951221701433916,18.38249378600005,Wynberg,Fish Hoek,17.5
,,,Wynberg,Polkadraai Rd,37.6
,,,Claremont,University of Cape Town (UCT),4.9
,,,Cape Town,Wynberg,3
,,,Claremont,Newlands,3.1
,,,Claremont,Observatory,6
,,,Claremont,Rondebosch,2.9
,,,Claremont,Russel,26
,,,Claremont,Muizenberg,13
,,,Sea Point,Cape Town,4.3
,,,Sea Point,Camp Bay,5.2
,,,Table View,Russel,33
,,,Table View,Milnerton,9
,,,Table View,Cape Town,19
,,,Table View,Blaauwberg,1.5
,,,Table View,Koeberg Rd,6.8
,,,Milnerton,Bellville,17.7
,,,Milnerton,Table View,9
,,,Milnerton,Koeberg Rd,4.9
,,,Milnerton,Bellville,11.9
,,,Milnerton,Stellenbosch,37.4
,,,Blaauwberg,Table View,1.5
,,,Blaauwberg,Cape Town,19.1
,,,Blaauwberg,Durbanville,19.7
,,,Blaauwberg,Koeberg Rd,8.2
,,,Hout Bay,Constantia,10.5
,,,Hout Bay,Camp Bay,12.5
,,,Hout Bay,Wynberg,14.5
