t,x_t,x_t_1,x_t_2,x_t_3,x_t_4,x_t_5
6,2,5,9,0,0,3
7,4,2,5,9,0,0
8,3,4,2,5,9,0
9,0,3,4,2,5,9
10,13,0,3,4,2,5
11,4,13,0,3,4,2
12,14,4,13,0,3,4
13,0,14,4,13,0,3
14,2,0,14,4,13,0
15,11,2,0,14,4,13
16,0,11,2,0,14,4
17,2,0,11,2,0,14
18,10,2,0,11,2,0
19,6,10,2,0,11,2
20,5,6,10,2,0,11
21,0,5,6,10,2,0
22,0,0,5,6,10,2
23,9,0,0,5,6,10
24,4,9,0,0,5,6
25,0,4,9,0,0,5
26,2,0,4,9,0,0
27,2,2,0,4,9,0
28,1,2,2,0,4,9
29,6,1,2,2,0,4
30,3,6,1,2,2,0
31,1,3,6,1,2,2
32,0,1,3,6,1,2
33,0,0,1,3,6,1
34,0,0,0,1,3,6
35,0,0,0,0,1,3
36,1,0,0,0,0,1
37,1,1,0,0,0,0
38,1,1,1,0,0,0
39,4,1,1,1,0,0
40,0,4,1,1,1,0
41,0,0,4,1,1,1
42,0,0,0,4,1,1
43,4,0,0,0,4,1
44,3,4,0,0,0,4
45,14,3,4,0,0,0
46,0,14,3,4,0,0
47,2,0,14,3,4,0
48,7,2,0,14,3,4
49,35,7,2,0,14,3
50,0,35,7,2,0,14
51,0,0,35,7,2,0
52,0,0,0,35,7,2
53,-7,0,0,0,35,7
54,0,-7,0,0,0,35
55,26,0,-7,0,0,0
56,18,26,0,-7,0,0
57,8,18,26,0,-7,0
58,45,8,18,26,0,-7
59,21,45,8,18,26,0
60,18,21,45,8,18,26
61,4,18,21,45,8,18
62,45,4,18,21,45,8
63,34,45,4,18,21,45
64,43,34,45,4,18,21
65,40,43,34,45,4,18
66,39,40,43,34,45,4
67,15,39,40,43,34,45
68,44,15,39,40,43,34
69,26,44,15,39,40,43
70,44,26,44,15,39,40
71,42,44,26,44,15,39
72,60,42,44,26,44,15
73,13,60,42,44,26,44
74,55,13,60,42,44,26
75,19,55,13,60,42,44
76,63,19,55,13,60,42
77,49,63,19,55,13,60
78,18,49,63,19,55,13
79,51,18,49,63,19,55
80,26,51,18,49,63,19
81,42,26,51,18,49,63
82,44,42,26,51,18,49
83,24,44,42,26,51,18
84,41,24,44,42,26,51
85,37,41,24,44,42,26
86,12,37,41,24,44,42
87,20,12,37,41,24,44
88,18,20,12,37,41,24
89,27,18,20,12,37,41
90,61,27,18,20,12,37
91,25,61,27,18,20,12
92,40,25,61,27,18,20
93,60,40,25,61,27,18
94,93,60,40,25,61,27
95,44,93,60,40,25,61
96,84,44,93,60,40,25
97,63,84,44,93,60,40
98,42,63,84,44,93,60
99,93,42,63,84,44,93
100,83,93,42,63,84,44
101,73,83,93,42,63,84
102,60,73,83,93,42,63
103,76,60,73,83,93,42
104,89,76,60,73,83,93
105,100,89,76,60,73,83
106,109,100,89,76,60,73
107,216,109,100,89,76,60
108,213,216,109,100,89,76
109,309,213,216,109,100,89
110,222,309,213,216,109,100
111,101,222,309,213,216,109
112,209,101,222,309,213,216
113,361,209,101,222,309,213
114,435,361,209,101,222,309
115,289,435,361,209,101,222
116,213,289,435,361,209,101
117,263,213,289,435,361,209
118,262,263,213,289,435,361
119,484,262,263,213,289,435
120,378,484,262,263,213,289
121,382,378,484,262,263,213
122,200,382,378,484,262,263
123,104,200,382,378,484,262
124,395,104,200,382,378,484
125,614,395,104,200,382,378
126,219,614,395,104,200,382
127,360,219,614,395,104,200
128,125,360,219,614,395,104
129,429,125,360,219,614,395
130,395,429,125,360,219,614
